#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
402816:11589,171:171,04/11/26 19:39:00,STABLE BEAMS,6799,0.000039614,0.000038743,4.9,HFET
402816:11589,172:172,04/11/26 19:39:23,STABLE BEAMS,6799,0.000039392,0.000038536,4.9,HFET
402816:11589,173:173,04/11/26 19:39:47,STABLE BEAMS,6799,0.000039225,0.000038377,4.9,HFET
402816:11589,174:174,04/11/26 19:40:10,STABLE BEAMS,6799,0.000039225,0.000038362,4.9,HFET
402816:11589,175:175,04/11/26 19:40:33,STABLE BEAMS,6799,0.000039082,0.000038230,4.9,HFET
402816:11589,176:176,04/11/26 19:40:57,STABLE BEAMS,6799,0.000039316,0.000038443,4.9,HFET
402816:11589,177:177,04/11/26 19:41:20,STABLE BEAMS,6799,0.000038886,0.000038059,4.8,HFET
402816:11589,178:178,04/11/26 19:41:43,STABLE BEAMS,6799,0.000039682,0.000038811,4.9,HFET
402816:11589,179:179,04/11/26 19:42:07,STABLE BEAMS,6799,0.000040003,0.000039129,5.0,HFET
402816:11589,180:180,04/11/26 19:42:30,STABLE BEAMS,6799,0.000040191,0.000039307,5.0,HFET
402816:11589,181:181,04/11/26 19:42:53,STABLE BEAMS,6799,0.000040206,0.000039305,5.0,HFET
402816:11589,182:182,04/11/26 19:43:16,STABLE BEAMS,6799,0.000039912,0.000039037,5.0,HFET
402816:11589,183:183,04/11/26 19:43:40,STABLE BEAMS,6799,0.000039835,0.000038399,5.0,HFET
402816:11589,184:184,04/11/26 19:44:03,STABLE BEAMS,6799,0.000040128,0.000039249,5.0,HFET
402816:11589,185:185,04/11/26 19:44:26,STABLE BEAMS,6799,0.000040169,0.000039282,5.0,HFET
402816:11589,186:186,04/11/26 19:44:50,STABLE BEAMS,6799,0.000039665,0.000038796,4.9,HFET
402816:11589,187:187,04/11/26 19:45:13,STABLE BEAMS,6799,0.000039875,0.000039012,5.0,HFET
402816:11589,188:188,04/11/26 19:45:36,STABLE BEAMS,6799,0.000039818,0.000038934,5.0,HFET
402816:11589,189:189,04/11/26 19:46:00,STABLE BEAMS,6799,0.000039107,0.000038264,4.9,HFET
402816:11589,190:190,04/11/26 19:46:23,STABLE BEAMS,6799,0.000039394,0.000038551,4.9,HFET
402816:11589,191:191,04/11/26 19:46:46,STABLE BEAMS,6799,0.000039326,0.000038485,4.9,HFET
402816:11589,192:192,04/11/26 19:47:10,STABLE BEAMS,6799,0.000039305,0.000038455,4.9,HFET
402816:11589,193:193,04/11/26 19:47:33,STABLE BEAMS,6799,0.000039096,0.000038264,4.9,HFET
402816:11589,194:194,04/11/26 19:47:56,STABLE BEAMS,6799,0.000039127,0.000038284,4.9,HFET
402816:11589,195:195,04/11/26 19:48:20,STABLE BEAMS,6799,0.000038955,0.000037582,4.9,HFET
402816:11589,196:196,04/11/26 19:48:43,STABLE BEAMS,6799,0.000040180,0.000039287,5.0,HFET
402816:11589,197:197,04/11/26 19:49:06,STABLE BEAMS,6799,0.000040141,0.000039258,5.0,HFET
402816:11589,198:198,04/11/26 19:49:29,STABLE BEAMS,6799,0.000040076,0.000039184,5.0,HFET
402816:11589,199:199,04/11/26 19:49:53,STABLE BEAMS,6799,0.000040203,0.000039314,5.0,HFET
402816:11589,200:200,04/11/26 19:50:16,STABLE BEAMS,6799,0.000040027,0.000039144,5.0,HFET
402816:11589,201:201,04/11/26 19:50:39,STABLE BEAMS,6799,0.000040099,0.000039210,5.0,HFET
402816:11589,202:202,04/11/26 19:51:03,STABLE BEAMS,6799,0.000040224,0.000039335,5.0,HFET
402816:11589,203:203,04/11/26 19:51:26,STABLE BEAMS,6799,0.000040084,0.000039201,5.0,HFET
402816:11589,204:204,04/11/26 19:51:49,STABLE BEAMS,6799,0.000040177,0.000039294,5.0,HFET
402816:11589,205:205,04/11/26 19:52:13,STABLE BEAMS,6799,0.000040170,0.000039285,5.0,HFET
402816:11589,206:206,04/11/26 19:52:36,STABLE BEAMS,6799,0.000040332,0.000039426,5.0,HFET
402816:11589,207:207,04/11/26 19:52:59,STABLE BEAMS,6799,0.000040436,0.000039533,5.0,HFET
402816:11589,208:208,04/11/26 19:53:23,STABLE BEAMS,6799,0.000041011,0.000039522,5.1,HFET
402816:11589,209:209,04/11/26 19:53:46,STABLE BEAMS,6799,0.000040797,0.000039880,5.1,HFET
402816:11589,210:210,04/11/26 19:54:09,STABLE BEAMS,6799,0.000040506,0.000039609,5.0,HFET
402816:11589,211:211,04/11/26 19:54:33,STABLE BEAMS,6799,0.000040577,0.000039685,5.1,HFET
402816:11589,212:212,04/11/26 19:54:56,STABLE BEAMS,6799,0.000040876,0.000039961,5.1,HFET
402816:11589,213:213,04/11/26 19:55:19,STABLE BEAMS,6799,0.000040898,0.000039989,5.1,HFET
402816:11589,214:214,04/11/26 19:55:42,STABLE BEAMS,6799,0.000040673,0.000039769,5.1,HFET
402816:11589,215:215,04/11/26 19:56:06,STABLE BEAMS,6799,0.000040706,0.000039803,5.1,HFET
402816:11589,216:216,04/11/26 19:56:29,STABLE BEAMS,6799,0.000040728,0.000039818,5.1,HFET
402816:11589,217:217,04/11/26 19:56:52,STABLE BEAMS,6799,0.000040560,0.000039655,5.1,HFET
402816:11589,218:218,04/11/26 19:57:16,STABLE BEAMS,6799,0.000040396,0.000039492,5.0,HFET
402816:11589,219:219,04/11/26 19:57:39,STABLE BEAMS,6799,0.000040817,0.000039893,5.1,HFET
402816:11589,220:220,04/11/26 19:58:02,STABLE BEAMS,6799,0.000040797,0.000039878,5.1,HFET
402816:11589,221:221,04/11/26 19:58:26,STABLE BEAMS,6799,0.000040851,0.000039359,5.1,HFET
402816:11589,222:222,04/11/26 19:58:49,STABLE BEAMS,6799,0.000040513,0.000039610,5.1,HFET
402816:11589,223:223,04/11/26 19:59:12,STABLE BEAMS,6799,0.000040395,0.000039501,5.0,HFET
402816:11589,224:224,04/11/26 19:59:36,STABLE BEAMS,6799,0.000040142,0.000039235,5.0,HFET
402816:11589,225:225,04/11/26 19:59:59,STABLE BEAMS,6799,0.000040260,0.000039375,5.0,HFET
402816:11589,226:226,04/11/26 20:00:22,STABLE BEAMS,6799,0.000040272,0.000039375,5.0,HFET
402816:11589,227:227,04/11/26 20:00:46,STABLE BEAMS,6799,0.000040112,0.000039221,5.0,HFET
402816:11589,228:228,04/11/26 20:01:09,STABLE BEAMS,6799,0.000039867,0.000038991,5.0,HFET
402816:11589,229:229,04/11/26 20:01:32,STABLE BEAMS,6799,0.000040354,0.000039460,5.0,HFET
402816:11589,230:230,04/11/26 20:01:55,STABLE BEAMS,6799,0.000040156,0.000039277,5.0,HFET
402816:11589,231:231,04/11/26 20:02:19,STABLE BEAMS,6799,0.000040024,0.000039148,5.0,HFET
402816:11589,232:232,04/11/26 20:02:42,STABLE BEAMS,6799,0.000039662,0.000038805,4.9,HFET
402816:11589,233:233,04/11/26 20:03:05,STABLE BEAMS,6799,0.000040011,0.000039141,5.0,HFET
402816:11589,234:234,04/11/26 20:03:29,STABLE BEAMS,6799,0.000040339,0.000038885,5.0,HFET
402816:11589,235:235,04/11/26 20:03:52,STABLE BEAMS,6799,0.000040468,0.000039567,5.0,HFET
402816:11589,236:236,04/11/26 20:04:15,STABLE BEAMS,6799,0.000040066,0.000039193,5.0,HFET
402816:11589,237:237,04/11/26 20:04:39,STABLE BEAMS,6799,0.000040499,0.000039594,5.0,HFET
402816:11589,238:238,04/11/26 20:05:02,STABLE BEAMS,6799,0.000040802,0.000039900,5.1,HFET
402816:11589,239:239,04/11/26 20:05:25,STABLE BEAMS,6799,0.000041494,0.000040547,5.2,HFET
402816:11589,240:240,04/11/26 20:05:49,STABLE BEAMS,6799,0.000040039,0.000039163,5.0,HFET
402816:11589,241:241,04/11/26 20:06:12,STABLE BEAMS,6799,0.000039234,0.000038384,4.9,HFET
402816:11589,242:242,04/11/26 20:06:35,STABLE BEAMS,6799,0.000039644,0.000038787,4.9,HFET
402816:11589,243:243,04/11/26 20:06:58,STABLE BEAMS,6799,0.000039754,0.000038901,5.0,HFET
402816:11589,244:244,04/11/26 20:07:22,STABLE BEAMS,6799,0.000039673,0.000038819,4.9,HFET
402816:11589,245:245,04/11/26 20:07:45,STABLE BEAMS,6799,0.000039439,0.000038597,4.9,HFET
402816:11589,246:246,04/11/26 20:08:08,STABLE BEAMS,6799,0.000039471,0.000038622,4.9,HFET
402816:11589,247:247,04/11/26 20:08:32,STABLE BEAMS,6799,0.000039199,0.000037799,4.9,HFET
402816:11589,248:248,04/11/26 20:08:55,STABLE BEAMS,6799,0.000038657,0.000037848,4.8,HFET
